9.7	400	3.378	23750	2.38	944
5.9	250	3.415	25625	2	381
6.9	287.5	2.928	22500	2.94	831
7.8	325	3.078	30000	2.84	213
16.3	387.5	3.153	21250	2.47	100
20	262.5	3.115	28125	2.09	775
14.4	237.5	3.49	23125	3.31	494
13.4	375	3.34	29375	3.22	663
12.5	300	3.19	25000	2.75	550
15.3	200	3.003	26250	3.13	156
19.1	350	2.965	24375	3.5	719
18.1	312.5	3.453	27500	2.56	269
17.2	275	3.303	20000	2.66	888
8.8	212.5	3.228	28750	3.03	1000
5	337.5	3.265	21875	3.41	325
10.6	362.5	2.89	26875	2.19	606
11.6	225	3.04	20625	2.28	438
